7149,0.21,1001.09,31.31,-3.62,-3.64,6.46,-0.01,-0.13,-0.01,8.42
7188,0.22,1001.09,31.31,-2.94,-3.65,7.01,-0.01,-0.21,-0.00,8.42
7226,0.18,1001.10,31.31,-3.42,-3.85,6.59,0.00,0.01,-0.01,8.42
7264,0.18,1001.10,31.32,-3.00,-3.65,7.15,-0.01,-0.19,-0.02,8.42
7302,0.18,1001.10,31.32,-2.86,-3.57,6.97,-0.02,0.10,0.01,8.42
7353,0.23,1001.09,31.33,-3.11,-3.64,6.86,-0.02,-0.26,-0.01,8.42
7392,0.20,1001.09,31.33,-2.92,-3.79,6.91,-0.01,-0.15,-0.00,8.41
7430,0.24,1001.09,31.33,-2.92,-3.67,6.74,-0.01,-0.11,-0.01,8.42
7468,0.31,1001.08,31.34,-2.96,-3.46,7.04,0.02,-0.41,-0.00,8.42
7506,0.33,1001.08,31.34,-2.29,-3.41,6.95,-0.02,0.13,-0.01,8.42
7567,0.27,1001.09,31.35,-3.34,-3.73,7.08,-0.02,0.00,-0.01,8.42
7606,0.29,1001.08,31.35,-2.57,-3.66,7.06,-0.00,-0.00,-0.01,8.42
7644,0.34,1001.08,31.35,-3.24,-3.69,6.74,-0.01,0.14,0.00,8.42
7682,0.24,1001.09,31.35,-3.94,-3.21,6.83,0.05,-0.94,0.02,8.41
7720,0.25,1001.09,31.36,-2.22,-3.67,6.79,0.01,-0.36,-0.03,8.42
7772,0.26,1001.09,31.36,-3.20,-3.53,7.42,-0.01,-0.13,0.00,8.42
7811,0.27,1001.09,31.37,-2.36,-3.77,6.93,-0.02,0.25,-0.01,8.42
7849,0.34,1001.08,31.37,-3.10,-3.61,6.85,-0.01,0.01,0.01,8.42
7887,0.37,1001.07,31.37,-2.65,-3.79,6.94,-0.02,-0.03,-0.00,8.41
7925,0.34,1001.08,31.37,-2.72,-3.46,6.90,0.00,-0.13,0.03,8.41
7976,0.31,1001.08,31.38,-2.56,-3.61,7.04,-0.02,0.12,-0.01,8.41
8015,0.32,1001.08,31.38,-3.26,-3.59,6.80,-0.01,0.14,0.00,8.41
8061,0.34,1001.08,31.38,-2.93,-3.73,6.76,-0.01,-0.24,-0.00,8.41
8100,0.32,1001.08,31.38,-2.70,-3.56,7.13,-0.01,0.03,0.01,8.41
8138,0.34,1001.08,31.38,-3.10,-3.63,6.64,-0.00,-0.18,-0.00,8.41
8190,0.32,1001.08,31.38,-3.06,-3.29,8.15,0.06,-0.42,0.03,8.41
8229,0.31,1001.08,31.38,-2.79,-3.72,6.80,0.01,-0.22,-0.02,8.41
8267,0.36,1001.07,31.37,-2.70,-3.80,7.01,0.06,-0.84,0.02,8.41
8305,0.45,1001.06,31.38,-1.83,-3.41,7.28,-0.00,-0.47,-0.03,8.41
8343,0.50,1001.06,31.38,-1.14,-4.02,7.68,-0.01,0.13,0.05,8.41
8394,0.52,1001.06,31.38,-1.88,-3.50,7.13,-0.04,0.99,0.01,8.42
8432,0.52,1001.06,31.38,-2.72,-4.06,6.74,-0.06,1.27,0.03,8.41
8470,0.48,1001.06,31.38,-3.62,-3.72,6.34,-0.03,0.39,-0.01,8.41
8508,0.40,1001.07,31.39,-3.60,-3.94,6.49,0.00,0.46,-0.02,8.42
8546,0.26,1001.09,31.39,-4.21,-3.74,6.29,0.02,-0.14,-0.01,8.42
8613,0.18,1001.10,31.40,-2.49,-3.64,7.47,0.06,-0.32,0.04,8.42
8652,0.12,1001.10,31.40,-3.35,-3.36,6.68,0.01,0.01,-0.02,8.42
8690,0.08,1001.11,31.40,-2.75,-3.54,6.92,0.01,0.01,0.01,8.42
8728,0.09,1001.11,31.41,-3.21,-3.57,7.35,-0.02,0.64,0.01,8.42
8766,0.08,1001.11,31.41,-3.62,-3.62,6.23,0.00,0.51,-0.00,8.42
8818,0.08,1001.11,31.42,-3.40,-3.77,6.82,-0.01,0.34,-0.01,8.42
8857,0.04,1001.11,31.42,-4.03,-3.41,6.06,0.03,0.01,-0.00,8.42
8895,0.09,1001.11,31.42,-3.44,-3.97,7.00,0.03,0.06,-0.01,8.42
8933,0.08,1001.11,31.43,-3.67,-3.14,6.15,0.04,-0.11,0.02,8.42
8971,0.08,1001.11,31.43,-3.40,-3.61,6.79,-0.00,-0.32,0.01,8.42
9023,0.10,1001.11,31.44,-3.81,-3.41,6.09,0.01,-0.05,0.02,8.42
9062,0.10,1001.11,31.44,-3.38,-3.61,6.82,0.00,-0.08,-0.01,8.42
9110,0.08,1001.11,31.44,-3.77,-3.38,6.39,-0.03,0.08,0.01,8.42
9149,0.09,1001.11,31.45,-3.78,-3.71,6.49,0.01,-0.15,-0.02,8.42
9187,0.11,1001.10,31.45,-3.32,-3.11,6.93,-0.02,-0.03,-0.01,8.42
9239,0.15,1001.10,31.45,-3.73,-3.83,6.43,0.02,-0.28,-0.03,8.42
9278,0.12,1001.10,31.46,-3.31,-3.12,6.89,-0.07,-0.59,-0.05,8.41
9316,0.11,1001.10,31.46,-3.49,-3.66,6.83,-0.09,-0.10,-0.06,8.42
9354,0.18,1001.10,31.47,-3.79,-3.59,6.90,-0.07,-0.67,-0.09,8.41
9392,0.28,1001.08,31.47,-2.13,-3.50,6.96,-0.17,-0.35,-0.04,8.42
9444,0.35,1001.08,31.48,-2.03,-4.08,8.82,-0.10,-1.55,-0.11,8.41
9483,0.53,1001.05,31.48,-2.15,-3.59,7.02,-0.03,-0.33,-0.03,8.41
9521,0.71,1001.03,31.49,-3.46,-3.43,6.44,0.05,-2.50,-0.09,8.42
9559,0.87,1001.01,31.49,-0.20,-3.62,7.92,-0.01,-2.76,-0.18,8.42
9597,1.03,1001.00,31.50,1.10,-3.70,7.60,-0.05,-1.03,-0.06,8.41
9656,1.42,1000.95,31.50,1.07,-3.22,8.57,-0.05,-0.89,0.02,8.42
9695,1.51,1000.94,31.50,0.12,-4.30,6.95,-0.04,-0.50,0.01,8.41
9733,1.61,1000.93,31.51,0.74,-3.45,7.56,0.01,-1.66,0.01,8.42
9771,1.33,1000.96,31.51,1.74,-3.96,7.78,-0.04,-0.20,-0.03,8.42
9809,0.98,1001.00,31.51,1.55,-3.46,7.35,-0.02,-0.64,-0.02,8.42
